date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:56	14690/14690	---MCZ	200	added ('OK')	application/javascript	etag:%22c55e2dc00124c68cb446728991258b7e-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/aos/aos.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/aos/aos.js	(from https://techfiesta.netlify.app/)
12:05:57	80427/80427	---MCZ	200	added ('OK')	application/javascript	etag:%220d9fc89e725cd72c995be45ee74a3821-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://techfiesta.netlify.app/)
12:05:59	54762/54762	---MCZ	200	added ('OK')	application/javascript	etag:%22c0e93956cf6a5e6650f7d63bee537ea5-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/glightbox/js/glightbox.min.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/glightbox/js/glightbox.min.js	(from https://techfiesta.netlify.app/)
12:05:59	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:%220119263eb3ba56ad16a49087c0f79067-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://techfiesta.netlify.app/)
12:06:00	2731/2731	---M-Z	200	added ('OK')	application/javascript	etag:%22d08daa9f67bcf6ac41180a9ba98d11e5-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/php-email-form/validate.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/php-email-form/validate.js	(from https://techfiesta.netlify.app/)
12:06:01	141251/141251	---MCZ	200	added ('OK')	application/javascript	etag:%222eaf8470335e43706019a26c0d27fbd5-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/swiper/swiper-bundle.min.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/swiper/swiper-bundle.min.js	(from https://techfiesta.netlify.app/)
12:06:01	6628/6628	---MCZ	200	added ('OK')	application/javascript	etag:%22b90bc49609ad1e5ee7e62d6083003264-ssl-df%22	https://techfiesta.netlify.app/assets/js/main.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/js/main.js	(from https://techfiesta.netlify.app/)
12:06:02	85044/85044	---M--	200	added ('OK')	font/woff2	etag:%22f88adc30ead376707cb0991384faa11f-ssl%22	https://techfiesta.netlify.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/bootstrap-icons/fonts/bootstrap-iconse36a.woff2	(from https://techfiesta.netlify.app/assets/vendor/bootstrap-icons/bootstrap-icons.css)
12:06:03	113656/113656	---MCZ	200	added ('OK')	application/font-woff	etag:%227f32343ee42cd439c713c9f31a4168d6-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?8bd4575acf83c7696dc7a14a966660a3	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/bootstrap-icons/fonts/bootstrap-iconse36a.woff	(from https://techfiesta.netlify.app/assets/vendor/bootstrap-icons/bootstrap-icons.css)
12:06:03	93260/93260	---M--	200	added ('OK')	font/woff2	etag:%22d73d034c12f4bdd0550fd650589d704a-ssl%22	https://techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css)
12:06:04	273536/273536	---MCZ	200	added ('OK')	application/octet-stream	etag:%2274353a2a1f3d6e79a60256c385bc200c-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.eot	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.eot	(from https://techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css)
12:06:05	273444/273444	---MCZ	200	added ('OK')	application/font-woff	etag:%22bbf7383ae566b5deaa429466ec1c2a04-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.woff	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.woff	(from https://techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css)
12:06:05	273368/273368	---M--	200	added ('OK')	font/ttf	etag:%223691d8851723d7bc248568b0138ff082-ssl%22	https://techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css)
12:06:06	250210/250210	---M--	200	added ('OK')	image/jpeg	etag:%224ed7e60ce241c1affbd09e0662b414ec-ssl%22	https://techfiesta.netlify.app/assets/img/welcome.jpg	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/img/welcome.jpg	(from https://techfiesta.netlify.app/assets/css/style.css)
